Doc_0 :Topic_7:0.23928924147554465, Topic_4:0.15869966696465734, Topic_2:0.11002182934539455, Topic_6:0.09073034062172003, Topic_5:0.08852399792813535, Topic_1:0.08612730540303366, Topic_8:0.08424852580037091, Topic_0:0.06520167143007267, Topic_3:0.05071166929902588, Topic_9:0.02644575173204508
Doc_1 :Topic_2:0.18180602520730205, Topic_4:0.13944341982380712, Topic_1:0.13329519698502143, Topic_6:0.11913027512649077, Topic_3:0.10763667323528074, Topic_9:0.09210565871365771, Topic_7:0.06385378890290105, Topic_8:0.05902437775341522, Topic_5:0.05512678529925776, Topic_0:0.048577798952866014
Doc_2 :Topic_3:0.3896151560702467, Topic_8:0.11831100344604126, Topic_7:0.09257950907159818, Topic_9:0.08519904330142009, Topic_0:0.07212090492404784, Topic_6:0.0629077450149672, Topic_5:0.04625640158112635, Topic_2:0.045650392333488096, Topic_4:0.04414987415817667, Topic_1:0.04320997009888759
Doc_3 :Topic_6:0.17465873594611475, Topic_8:0.1592723430512047, Topic_7:0.13883186458742772, Topic_0:0.13163837884700527, Topic_4:0.10379676266158057, Topic_3:0.10217971309875154, Topic_5:0.06273794167058148, Topic_2:0.059050907431637774, Topic_1:0.0442105332604152, Topic_9:0.023622819445280926
Doc_4 :Topic_0:0.3091407494745484, Topic_7:0.24134615353587588, Topic_3:0.0983500962506904, Topic_5:0.07861128358011503, Topic_8:0.0689382815354391, Topic_6:0.06632003937020736, Topic_4:0.05769480474180613, Topic_1:0.0556194020598084, Topic_2:0.018442189280506917, Topic_9:0.005537000171002341
Doc_5 :Topic_6:0.3450553982258562, Topic_8:0.25954455225673534, Topic_5:0.15630078256336272, Topic_2:0.06915854813143121, Topic_0:0.053088831961784176, Topic_4:0.04841894952120459, Topic_1:0.02352510516187535, Topic_9:0.018122644797139393, Topic_3:0.015095666069732495, Topic_7:0.011689521310878536
Doc_6 :Topic_7:0.36798810164224094, Topic_0:0.11454374875856128, Topic_1:0.10988355691467, Topic_5:0.08950451609154908, Topic_6:0.0816836076547265, Topic_4:0.07683124154381671, Topic_3:0.058533747803640464, Topic_8:0.05526419938144193, Topic_2:0.026111695370620823, Topic_9:0.019655584838732174
Doc_7 :Topic_0:0.23043774711970494, Topic_6:0.19077284694395263, Topic_1:0.16347987848611742, Topic_5:0.12388670084938265, Topic_7:0.09492115920948238, Topic_2:0.051487640062010225, Topic_4:0.04845743364615545, Topic_8:0.039617072445498364, Topic_3:0.03748439020722099, Topic_9:0.019455131030475005
Doc_8 :Topic_8:0.21761912841091383, Topic_4:0.15799891705830776, Topic_0:0.11497397358781442, Topic_5:0.10378037562539498, Topic_6:0.08499865840993473, Topic_3:0.08496835726676989, Topic_2:0.0786559322317817, Topic_7:0.07348644651276813, Topic_1:0.06451183270859646, Topic_9:0.019006378187717995
Doc_9 :Topic_0:0.23080982143821893, Topic_7:0.18653262187214772, Topic_1:0.18540151985281003, Topic_6:0.13062990088765591, Topic_4:0.0929516252610572, Topic_8:0.07166717030174746, Topic_5:0.06931391510666526, Topic_3:0.015544114026057508, Topic_2:0.013468635037637912, Topic_9:0.003680676216002111
Doc_10 :Topic_0:0.20048647435368436, Topic_5:0.188292652217057, Topic_1:0.16138564517021742, Topic_6:0.10205250903664603, Topic_8:0.10125656633376537, Topic_7:0.09680305113210066, Topic_3:0.04506610225533657, Topic_2:0.04383435897988282, Topic_9:0.03338277734487129, Topic_4:0.02743986317643839
